Dates,3M Company (NYSE:MMM) - Dividends per share
LTM1 2006,1.72
LTM2 2006,1.76
LTM3 2006,1.80
LTM4 2006,1.84
LTM1 2007,1.86
LTM2 2007,1.88
LTM3 2007,1.90
LTM4 2007,1.92
LTM1 2008,1.94
LTM2 2008,1.96
LTM3 2008,1.98
LTM4 2008,2.00
LTM1 2009,2.01
LTM2 2009,2.02
LTM3 2009,2.03
LTM4 2009,2.04
LTM1 2010,2.06
LTM2 2010,2.07
LTM3 2010,2.09
LTM4 2010,2.10
LTM1 2011,2.13
LTM2 2011,2.15
LTM3 2011,2.18
LTM4 2011,2.20
LTM1 2012,2.24
LTM2 2012,2.28
LTM3 2012,2.32
LTM4 2012,2.36
LTM1 2013,2.41
LTM2 2013,2.45
LTM3 2013,2.50
LTM4 2013,2.54
LTM1 2014,2.76
LTM2 2014,2.98
LTM3 2014,3.20
LTM4 2014,3.42
LTM1 2015,3.59
LTM2 2015,3.76
LTM3 2015,3.93
LTM4 2015,4.10